timestamp,open,high,low,close,volume,turnover
2020-05-11T00:00:00,8725.0,9158.5,8182.0,8559.0,52692.837,450997991.883
2020-05-12T00:00:00,8559.0,8973.0,8531.5,8813.0,12481.242,109997185.746
2020-05-13T00:00:00,8813.0,9400.5,8794.5,9301.5,11279.548,104916715.722
2020-05-14T00:00:00,9301.5,9940.0,9258.5,9788.0,27688.885,271018806.38
2020-05-15T00:00:00,9788.0,9840.5,9140.5,9315.0,21995.281,204886042.515
2020-05-16T00:00:00,9315.0,9583.0,9220.0,9382.5,9930.97,93177326.025
2020-05-17T00:00:00,9382.5,9886.0,9323.0,9675.0,12084.105,116913715.875
2020-05-18T00:00:00,9675.0,9957.5,9479.0,9728.5,15272.031,148573953.5835
2020-05-19T00:00:00,9728.5,9896.0,9470.0,9770.0,15195.118,148456302.86
2020-05-20T00:00:00,9770.0,9848.5,9323.5,9511.0,15495.024,147373173.264
2020-05-21T00:00:00,9511.0,9573.0,8813.0,9067.0,21825.811,197894628.337
2020-05-22T00:00:00,9067.0,9264.5,8933.5,9168.0,9493.212,87033767.616
2020-05-23T00:00:00,9168.0,9308.5,9082.0,9172.5,7723.913,70847591.9925
2020-05-24T00:00:00,9172.5,9295.0,8690.0,8710.0,17050.058,148506005.18
2020-05-25T00:00:00,8710.0,8974.0,8640.5,8893.5,10598.736,94259858.616
2020-05-26T00:00:00,8893.5,9011.0,8683.5,8842.0,9944.263,87927173.446
2020-05-27T00:00:00,8842.0,9222.0,8815.0,9194.5,10589.41,97364330.245
2020-05-28T00:00:00,9194.5,9614.5,9112.5,9572.0,12719.54,121751436.88
2020-05-29T00:00:00,9572.0,9600.0,9329.5,9425.0,9592.081,90405363.425
2020-05-30T00:00:00,9425.0,9735.0,9327.5,9693.0,13344.845,129351582.585
2020-05-31T00:00:00,9693.0,9695.0,9390.5,9449.5,10117.133,95601848.2835
2020-06-01T00:00:00,9449.5,10352.0,9422.0,10203.5,16716.848,170570358.568
2020-06-02T00:00:00,10203.5,10226.0,9288.0,9523.5,20019.999,190660460.4765
2020-06-03T00:00:00,9523.5,9693.5,9395.0,9660.0,5727.814,55330683.24
2020-06-04T00:00:00,9660.0,9876.0,9460.0,9789.0,9333.384,91364495.976
2020-06-05T00:00:00,9789.0,9851.5,9601.0,9622.5,6481.424,62367502.44
2020-06-06T00:00:00,9622.5,9730.0,9538.0,9664.0,4077.747,39407347.008
2020-06-07T00:00:00,9664.0,9807.5,9380.5,9741.0,8711.38,84857552.58
2020-06-08T00:00:00,9741.0,9799.0,9640.5,9776.5,5213.456,50969352.584
2020-06-09T00:00:00,9776.5,9873.5,9569.5,9769.5,7897.533,77154948.6435
2020-06-10T00:00:00,9769.5,9995.0,9688.0,9884.0,7689.773,76005716.332
2020-06-11T00:00:00,9884.0,9968.0,9100.5,9275.5,14656.033,135942034.0915
2020-06-12T00:00:00,9275.5,9550.0,9236.5,9462.5,6926.288,65540000.2
2020-06-13T00:00:00,9462.5,9494.0,9350.5,9470.0,3242.843,30709723.21
2020-06-14T00:00:00,9470.0,9477.5,9243.0,9340.0,4082.237,38128093.58
2020-06-15T00:00:00,9340.0,9487.0,8906.5,9418.0,12955.916,122018816.888
2020-06-16T00:00:00,9418.0,9584.5,9372.5,9521.0,6049.665,57598860.465
2020-06-17T00:00:00,9521.0,9564.0,9243.0,9462.0,6573.471,62198182.602
