,open,end_time,volume,start_time,close,high,low
0,8723.23,1589158799999,17529.754,1589155200000,8768.49,8800.00,8693.43
1,8768.50,1589162399999,10957.718,1589158800000,8711.01,8773.39,8681.36
2,8710.69,1589165999999,7752.624,1589162400000,8746.48,8760.00,8692.03
3,8746.49,1589169599999,14005.621,1589166000000,8696.89,8768.72,8656.19
4,8695.32,1589173199999,16773.586,1589169600000,8633.38,8709.00,8616.66
5,8633.38,1589176799999,11106.889,1589173200000,8688.12,8695.19,8610.42
6,8687.62,1589180399999,10264.478,1589176800000,8680.68,8729.38,8665.00
7,8680.67,1589183999999,12079.777,1589180400000,8660.96,8703.00,8621.00
8,8661.00,1589187599999,19119.687,1589184000000,8634.34,8684.00,8560.11
9,8634.32,1589191199999,29415.736,1589187600000,8487.29,8636.99,8472.01
10,8486.33,1589194799999,62031.623,1589191200000,8798.95,8888.88,8480.92
11,8799.22,1589198399999,43529.941,1589194800000,8923.21,8988.00,8740.00
12,8924.00,1589201999999,105137.360,1589198400000,8855.36,9164.00,8756.00
13,8855.36,1589205599999,42943.828,1589202000000,8845.05,8969.36,8757.00
14,8845.06,1589209199999,24548.994,1589205600000,8868.88,8942.00,8833.78
15,8868.87,1589212799999,24037.370,1589209200000,8880.01,8955.00,8805.44
16,8880.00,1589216399999,73853.248,1589212800000,8603.55,8925.00,8349.49
17,8603.73,1589219999999,50895.230,1589216400000,8500.60,8670.00,8422.00
18,8503.00,1589223599999,95905.533,1589220000000,8604.55,8673.70,8151.12
19,8602.86,1589227199999,57928.189,1589223600000,8747.36,8781.00,8400.00
20,8747.36,1589230799999,29801.316,1589227200000,8629.50,8812.35,8560.14
21,8628.88,1589234399999,16529.563,1589230800000,8589.12,8695.00,8457.12
22,8587.16,1589237999999,13405.507,1589234400000,8598.45,8647.41,8522.00
23,8598.68,1589241599999,15611.392,1589238000000,8561.09,8641.00,8493.67
24,8560.73,1589245199999,14702.452,1589241600000,8607.99,8674.00,8520.43
25,8607.99,1589248799999,8795.077,1589245200000,8617.16,8642.11,8559.34
26,8617.19,1589252399999,10604.985,1589248800000,8633.96,8685.91,8590.00
27,8634.17,1589255999999,12342.158,1589252400000,8712.55,8740.25,8628.54
28,8712.68,1589259599999,11415.397,1589256000000,8699.89,8749.80,8662.69
29,8699.33,1589263199999,13498.485,1589259600000,8727.42,8777.77,8699.32
30,8727.40,1589266799999,12851.155,1589263200000,8701.40,8757.76,8651.91
31,8701.71,1589270399999,11935.832,1589266800000,8651.42,8716.29,8608.05
32,8651.75,1589273999999,15468.024,1589270400000,8745.83,8762.69,8626.58
33,8745.95,1589277599999,20245.122,1589274000000,8782.50,8829.00,8740.00
34,8783.26,1589281199999,15573.369,1589277600000,8776.13,8816.53,8722.13
35,8775.18,1589284799999,11258.651,1589281200000,8798.56,8812.35,8723.00
36,8798.00,1589288399999,12385.839,1589284800000,8767.04,8819.93,8731.00
37,8767.03,1589291999999,19738.305,1589288400000,8726.96,8775.60,8648.59
38,8727.53,1589295599999,36101.836,1589292000000,8882.99,8922.32,8726.62
39,8882.60,1589299199999,23724.465,1589295600000,8863.50,8939.99,8845.00
40,8862.73,1589302799999,21966.213,1589299200000,8920.16,8955.00,8861.48
41,8920.28,1589306399999,22975.572,1589302800000,8875.06,8981.00,8816.04
42,8875.07,1589309999999,10973.728,1589306400000,8894.26,8907.49,8830.11
43,8894.01,1589313599999,15608.447,1589310000000,8789.76,8922.18,8770.00
44,8787.94,1589317199999,15464.498,1589313600000,8811.75,8841.72,8762.36
45,8812.81,1589320799999,11990.481,1589317200000,8780.00,8852.58,8725.00
46,8779.99,1589324399999,11638.229,1589320800000,8809.84,8824.87,8738.70
47,8809.99,1589327999999,8457.721,1589324400000,8808.71,8840.26,8775.01
48,8808.71,1589331599999,15470.410,1589328000000,8930.22,8938.86,8790.04
49,8929.93,1589335199999,10524.263,1589331600000,8943.00,8955.61,8886.00
50,8942.72,1589338799999,11679.675,1589335200000,8932.27,8971.00,8882.20
51,8932.04,1589342399999,7224.695,1589338800000,8908.63,8945.00,8889.44
52,8908.42,1589345999999,9132.980,1589342400000,8928.94,8937.84,8870.00
53,8928.94,1589349599999,7876.757,1589346000000,8881.64,8940.00,8867.00
54,8881.50,1589353199999,7584.760,1589349600000,8911.99,8919.31,8862.34
55,8911.99,1589356799999,8292.159,1589353200000,8867.64,8918.00,8854.00
56,8866.83,1589360399999,16232.307,1589356800000,8906.50,8915.79,8828.00
57,8906.50,1589363999999,9786.670,1589360400000,8913.58,8934.40,8890.44
58,8913.59,1589367599999,11939.656,1589364000000,8947.11,8958.00,8890.44
59,8947.11,1589371199999,26676.747,1589367600000,9034.48,9048.66,8925.10
60,9034.05,1589374799999,25056.732,1589371200000,9085.21,9098.00,8983.00
61,9086.00,1589378399999,21453.631,1589374800000,9076.32,9115.00,9034.36
62,9076.54,1589381999999,23144.284,1589378400000,9078.75,9134.00,9019.00
63,9078.39,1589385599999,23727.245,1589382000000,9135.32,9180.48,9076.62
64,9134.18,1589389199999,21238.706,1589385600000,9105.33,9164.69,9042.00
65,9104.75,1589392799999,10234.978,1589389200000,9081.37,9110.00,9045.02
66,9081.38,1589396399999,7363.528,1589392800000,9073.10,9105.99,9065.00
67,9073.10,1589399999999,12481.986,1589396400000,9145.82,9157.50,9070.71
68,9145.82,1589403599999,37631.674,1589400000000,9281.00,9332.00,9132.82
69,9279.91,1589407199999,29925.690,1589403600000,9344.41,9397.00,9260.00
70,9343.65,1589410799999,14055.027,1589407200000,9312.99,9360.30,9256.65
71,9313.00,1589414399999,10984.440,1589410800000,9305.91,9348.51,9286.16
72,9305.91,1589417999999,16390.006,1589414400000,9293.09,9383.78,9282.10
73,9293.09,1589421599999,11567.481,1589418000000,9270.00,9324.87,9255.16
74,9270.01,1589425199999,9245.233,1589421600000,9330.79,9335.00,9250.66
75,9330.23,1589428799999,7723.892,1589425200000,9346.85,9355.47,9305.00
76,9347.28,1589432399999,7827.421,1589428800000,9314.28,9350.00,9295.00
77,9314.37,1589435999999,28738.377,1589432400000,9435.68,9450.00,9263.00
78,9435.68,1589439599999,20181.715,1589436000000,9439.23,9468.87,9389.31
79,9439.21,1589443199999,28101.738,1589439600000,9502.66,9544.53,9405.00
80,9502.44,1589446799999,32728.206,1589443200000,9605.01,9655.00,9472.84
81,9605.01,1589450399999,57073.691,1589446800000,9800.00,9823.66,9605.00
82,9799.23,1589453999999,87910.154,1589450400000,9646.53,9950.00,9577.00
83,9646.53,1589457599999,32378.508,1589454000000,9681.12,9774.32,9638.22
84,9681.38,1589461199999,36223.901,1589457600000,9579.99,9711.99,9520.28
85,9583.52,1589464799999,21050.325,1589461200000,9622.00,9647.80,9537.80
86,9621.71,1589468399999,29490.220,1589464800000,9700.11,9755.93,9601.08
87,9700.32,1589471999999,16413.027,1589468400000,9743.59,9755.00,9659.98
88,9743.56,1589475599999,27365.971,1589472000000,9673.48,9782.10,9605.00
89,9673.00,1589479199999,16042.083,1589475600000,9618.01,9673.00,9570.00
90,9618.00,1589482799999,12241.139,1589479200000,9673.26,9682.16,9581.61
91,9673.40,1589486399999,13526.110,1589482800000,9657.56,9721.03,9644.37
92,9656.99,1589489999999,47177.223,1589486400000,9653.80,9876.00,9581.80
93,9653.74,1589493599999,13661.479,1589490000000,9766.78,9779.50,9602.00
94,9768.21,1589497199999,15674.067,1589493600000,9745.51,9815.00,9700.12
95,9746.23,1589500799999,13796.471,1589497200000,9786.80,9849.00,9727.51
96,9787.62,1589504399999,15802.615,1589500800000,9764.20,9843.50,9707.00
97,9764.14,1589507999999,8319.896,1589504400000,9735.02,9772.72,9714.87
98,9735.02,1589511599999,68684.947,1589508000000,9483.47,9746.95,9231.00
99,9483.48,1589515199999,23356.397,1589511600000,9471.00,9559.99,9431.20
100,9471.47,1589518799999,13443.232,1589515200000,9440.59,9505.00,9433.00
101,9441.66,1589522399999,20174.510,1589518800000,9498.62,9516.48,9364.82
102,9498.61,1589525999999,10901.091,1589522400000,9542.24,9549.15,9490.40
103,9542.06,1589529599999,26770.915,1589526000000,9669.98,9722.64,9532.46
104,9668.44,1589533199999,16579.241,1589529600000,9612.62,9700.00,9600.50
105,9612.39,1589536799999,15025.488,1589533200000,9606.99,9653.41,9552.31
106,9606.99,1589540399999,24468.916,1589536800000,9584.77,9627.00,9460.00
107,9584.35,1589543999999,15311.773,1589540400000,9589.96,9659.94,9549.11
108,9590.22,1589547599999,16148.819,1589544000000,9523.63,9590.76,9509.24
109,9523.42,1589551199999,14417.490,1589547600000,9545.12,9579.92,9480.84
110,9545.61,1589554799999,14288.791,1589551200000,9566.33,9615.00,9545.61
111,9566.78,1589558399999,34226.511,1589554800000,9472.45,9567.99,9405.00
112,9472.93,1589561999999,15701.044,1589558400000,9470.01,9515.00,9445.00
113,9470.01,1589565599999,9565.510,1589562000000,9473.85,9506.93,9439.77
114,9473.84,1589569199999,9372.391,1589565600000,9487.84,9532.19,9471.00
115,9488.45,1589572799999,32313.906,1589569200000,9337.31,9509.40,9320.00
116,9336.97,1589576399999,42506.448,1589572800000,9247.90,9410.55,9100.00
117,9247.58,1589579999999,22605.878,1589576400000,9415.00,9449.51,9208.99
118,9414.87,1589583599999,18479.647,1589580000000,9363.00,9482.93,9335.88
119,9361.78,1589587199999,15641.640,1589583600000,9310.73,9392.30,9245.27
120,9311.21,1589590799999,22507.294,1589587200000,9393.58,9398.00,9210.03
121,9393.59,1589594399999,14666.012,1589590800000,9407.59,9439.98,9366.00
122,9407.92,1589597999999,10546.337,1589594400000,9425.22,9454.99,9376.21
123,9426.11,1589601599999,7786.872,1589598000000,9401.25,9443.62,9383.00
124,9401.54,1589605199999,12829.791,1589601600000,9491.00,9498.33,9391.56
125,9489.61,1589608799999,23223.287,1589605200000,9456.35,9585.00,9440.53
126,9456.36,1589612399999,9153.844,1589608800000,9465.90,9478.00,9411.07
127,9465.90,1589615999999,13308.312,1589612400000,9385.86,9507.33,9371.35
128,9385.87,1589619599999,12094.950,1589616000000,9420.00,9436.00,9350.00
129,9419.99,1589623199999,11608.301,1589619600000,9409.87,9430.00,9326.00
130,9409.87,1589626799999,9387.996,1589623200000,9449.45,9455.80,9364.52
131,9449.45,1589630399999,7083.135,1589626800000,9410.00,9455.00,9374.96
132,9410.00,1589633999999,13980.609,1589630400000,9469.00,9499.00,9399.68
133,9468.91,1589637599999,15042.924,1589634000000,9447.62,9529.53,9420.00
134,9447.61,1589641199999,11698.097,1589637600000,9428.00,9484.35,9386.01
135,9427.99,1589644799999,14419.310,1589641200000,9375.34,9436.75,9329.00
136,9375.34,1589648399999,15224.654,1589644800000,9381.77,9410.00,9312.55
137,9381.50,1589651999999,11938.393,1589648400000,9318.23,9403.00,9284.89
138,9318.24,1589655599999,13723.158,1589652000000,9285.52,9344.00,9260.00
139,9285.80,1589659199999,7692.867,1589655600000,9325.59,9348.00,9263.04
140,9325.59,1589662799999,9252.679,1589659200000,9378.36,9388.69,9291.43
141,9378.37,1589666399999,7949.604,1589662800000,9376.89,9426.00,9349.43
142,9376.50,1589669999999,6669.482,1589666400000,9417.01,9439.00,9356.00
143,9417.00,1589673599999,5980.293,1589670000000,9374.99,9431.03,9358.47
144,9374.99,1589677199999,18915.368,1589673600000,9478.00,9508.50,9317.16
145,9478.01,1589680799999,9707.738,1589677200000,9466.89,9519.62,9432.08
146,9465.60,1589684399999,10367.924,1589680800000,9507.52,9552.39,9465.60
147,9507.56,1589687999999,8795.251,1589684400000,9539.00,9572.38,9490.94
148,9539.00,1589691599999,7920.174,1589688000000,9503.28,9568.72,9501.36
149,9503.28,1589695199999,6433.608,1589691600000,9491.08,9527.13,9470.00
150,9491.16,1589698799999,6439.425,1589695200000,9543.43,9550.00,9491.15
151,9543.44,1589702399999,8033.423,1589698800000,9536.32,9563.46,9500.00
152,9536.22,1589705999999,10222.693,1589702400000,9486.76,9550.00,9475.00
153,9486.71,1589709599999,8491.410,1589706000000,9488.06,9510.62,9447.13
154,9487.73,1589713199999,6195.883,1589709600000,9526.39,9534.13,9486.02
155,9526.40,1589716799999,5558.455,1589713200000,9518.43,9530.69,9490.00
156,9518.43,1589720399999,43732.279,1589716800000,9767.08,9773.88,9517.89
157,9767.32,1589723999999,16937.994,1589720400000,9738.34,9785.00,9676.00
158,9738.33,1589727599999,17589.537,1589724000000,9805.13,9831.54,9716.50
159,9804.18,1589731199999,27786.744,1589727600000,9818.43,9880.00,9756.01
160,9818.43,1589734799999,17332.465,1589731200000,9735.38,9836.72,9702.00
161,9735.02,1589738399999,8039.231,1589734800000,9757.33,9769.00,9715.00
162,9757.34,1589741999999,8107.409,1589738400000,9745.75,9760.04,9700.68
163,9745.82,1589745599999,8221.583,1589742000000,9768.64,9791.15,9725.09
164,9768.62,1589749199999,6436.660,1589745600000,9736.20,9768.97,9721.00
165,9737.20,1589752799999,6535.282,1589749200000,9762.52,9794.60,9732.61
166,9762.52,1589756399999,24705.272,1589752800000,9685.54,9762.52,9600.00
167,9685.54,1589759999999,8353.532,1589756400000,9678.57,9727.39,9656.08
168,9677.31,1589763599999,12500.397,1589760000000,9774.19,9789.00,9677.19
169,9774.19,1589767199999,38226.531,1589763600000,9901.01,9958.67,9755.59
170,9902.10,1589770799999,15326.912,1589767200000,9869.30,9926.00,9826.13
171,9869.34,1589774399999,9883.537,1589770800000,9858.12,9887.87,9813.10
172,9858.14,1589777999999,12573.273,1589774400000,9865.71,9910.99,9830.00
173,9865.71,1589781599999,8022.882,1589778000000,9857.99,9898.73,9850.00
174,9857.96,1589785199999,24689.403,1589781600000,9775.00,9879.03,9722.96
175,9775.00,1589788799999,10938.718,1589785200000,9782.66,9805.00,9732.62
176,9781.46,1589792399999,46417.900,1589788800000,9587.00,9795.00,9450.00
177,9586.99,1589795999999,17482.922,1589792400000,9577.54,9612.00,9535.00
178,9577.51,1589799599999,14386.643,1589796000000,9624.23,9658.00,9565.40
179,9624.24,1589803199999,12482.150,1589799600000,9628.68,9689.47,9622.37
180,9629.34,1589806799999,17231.663,1589803200000,9656.99,9663.99,9560.00
181,9657.00,1589810399999,11039.596,1589806800000,9653.87,9687.30,9631.61
182,9653.88,1589813999999,16777.810,1589810400000,9701.99,9730.00,9623.37
183,9701.99,1589817599999,12102.571,1589814000000,9663.30,9718.03,9633.30
184,9664.09,1589821199999,17455.922,1589817600000,9634.39,9707.05,9597.10
185,9634.44,1589824799999,16785.388,1589821200000,9619.99,9655.87,9540.01
186,9619.99,1589828399999,8180.648,1589824800000,9654.03,9666.49,9605.56
187,9654.01,1589831999999,11492.404,1589828400000,9698.65,9718.62,9654.00
188,9698.09,1589835599999,6799.506,1589832000000,9682.96,9718.68,9645.95
189,9682.85,1589839199999,5766.733,1589835600000,9682.65,9724.68,9672.00
190,9682.68,1589842799999,8722.394,1589839200000,9721.07,9753.18,9663.49
191,9720.60,1589846399999,8446.467,1589842800000,9731.10,9753.14,9697.51
192,9731.11,1589849999999,21211.472,1589846400000,9635.20,9739.00,9570.00
193,9635.20,1589853599999,6289.683,1589850000000,9647.29,9664.28,9620.82
194,9648.14,1589857199999,15948.621,1589853600000,9609.43,9650.78,9530.47
195,9609.55,1589860799999,14970.526,1589857200000,9526.23,9630.99,9480.00
196,9526.02,1589864399999,13087.144,1589860800000,9532.20,9574.00,9462.00
197,9532.21,1589867999999,11409.897,1589864400000,9595.99,9607.03,9520.00
198,9595.99,1589871599999,7160.804,1589868000000,9580.87,9619.00,9576.83
199,9580.80,1589875199999,7080.033,1589871600000,9570.18,9616.03,9550.00
200,9570.00,1589878799999,44439.740,1589875200000,9800.25,9830.22,9567.99
201,9800.51,1589882399999,12165.472,1589878800000,9789.36,9818.00,9766.00
202,9789.02,1589885999999,9261.002,1589882400000,9789.91,9802.94,9754.00
203,9789.92,1589889599999,39743.334,1589886000000,9748.30,9900.00,9690.00
204,9748.31,1589893199999,39190.212,1589889600000,9617.49,9760.29,9555.00
205,9618.42,1589896799999,30676.568,1589893200000,9669.18,9683.06,9590.00
206,9669.18,1589900399999,15997.432,1589896800000,9693.94,9733.00,9663.00
207,9693.95,1589903999999,14052.962,1589900400000,9685.00,9736.82,9642.42
208,9684.99,1589907599999,9827.049,1589904000000,9691.54,9728.97,9665.00
